"cruise_id","station","decimalLatitude","decimalLongitude","year","month","collection_date","temp","salinity","seascape_8day","seascape_monthly","total_vol_sampled","rhizaria","centric_diatoms","ceratium_spp","chaetoceros_spp","chaetognaths","mixed_chain_diatoms","skeletonema_spp","ostracoda","copepoda","decapoda","echinoderma","g_striata","gelatinous","appendicularia","neocalyptrella_spp","hemidiscus_spp","fecal_pellets","polychaete","pteropoda","trichodesmium_spp"
"WS22337","68",24.931,-81.166,2022,12,2022-12-04 01:01:00,25.527,34.96,21,21,2214.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WS22337","65",25.098,-81.094,2022,12,2022-12-04 02:27:00,25.756,31.481,21,21,1162.3,0,1720.7261464338,0,0,0,860.363073216898,0,0,860.363073216898,0,0,0,0,0,0,0,0,0,0,0
"WS22337","64",25.165,-81.16,2022,12,2022-12-04 03:23:00,25.531,30.163,21,21,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WS22337","60",25.165,-81.338,2022,12,2022-12-04 04:45:00,25.22429,32.17607,21,21,1855.2,0,2695.12721000431,0,0,0,1617.07632600259,0,0,9702.45795601552,0,0,0,0,0,0,0,0,0,0,0
"WS22337","58",25.168,-81.653,2022,12,2022-12-04 06:35:00,25.05396,34.86477,21,21,2411.8,0,0,0,829.256157226967,0,0,0,414.628078613484,4560.90886474832,414.628078613484,0,0,0,829.256157226967,0,414.628078613484,414.628078613484,0,0,0
"WS22337","57.3",25.35,-81.65,2022,12,2022-12-04 08:17:00,24.89664,35.01142,21,21,2188.4,0,0,0,1827.81941144215,0,0,0,0,5026.50338146591,913.909705721075,0,0,0,0,0,0,0,0,0,0
"WS22337","57.2",25.351,-81.492,2022,12,2022-12-04 09:33:00,24.916,34.824,21,21,2082.4,0,0,0,0,0,0,0,0,960.430272762197,0,0,0,0,0,0,0,0,0,0,0
"WS22337","57.1",25.351,-81.336,2022,12,2022-12-04 10:41:00,24.752,33.111,21,21,1427.4,0,0,0,0,0,2101.72341319882,0,0,2101.72341319882,0,0,0,0,2802.2978842651,0,0,0,0,0,0
"WS22337","57",25.35,-81.267,2022,12,2022-12-04 11:21:00,24.551,31.534,21,21,1465.2,0,9555.00955500956,0,0,0,0,0,0,4095.0040950041,0,0,0,0,682.500682500682,0,0,0,0,0,0
"WS22337","56",25.35,-81.226,2022,12,2022-12-04 11:51:00,24.435,29.289,21,27,359.7,0,25020.8507089241,0,0,0,5560.18904642758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WS22337","31",25.741,-81.944,2022,12,2022-12-04 22:24:00,24.5327,35.48267,21,21,2555.7,0,0,391.282231873851,12912.3136518371,0,13694.8781155848,0,0,2347.6933912431,0,0,43823.6099698713,782.564463747701,0,10955.9024924678,11347.1847243417,391.282231873851,0,0,5477.95124623391
"WS22337","33",25.907,-81.799,2022,12,2022-12-05 00:11:00,23.96236,35.02638,21,21,2025.6,0,0,0,9379.93680884676,0,3949.44707740916,0,0,493.680884676145,0,0,0,1481.04265402844,0,493.680884676145,1974.72353870458,0,0,0,0
"WS22337","CAL5",26.182,-82.216,2022,12,2022-12-05 04:03:00,24.02049,35.67118,21,21,2745,0,0,364.298724954463,0,0,364.298724954463,0,0,9471.76684881603,364.298724954463,0,0,364.298724954463,364.298724954463,0,0,0,0,0,364.298724954463
"WS22337","CAL4",26.253,-82.139,2022,12,2022-12-05 04:58:00,23.71922,35.24391,21,21,2252.8,0,0,0,0,0,0,0,0,7990.05681818182,443.892045454545,0,0,3551.13636363636,0,0,0,0,443.892045454545,443.892045454545,0
"WS22337","CAL3",26.34,-82.045,2022,12,2022-12-05 06:10:00,23.61324,34.5458,21,21,492.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WS22337","CAL2",26.383,-82,2022,12,2022-12-05 06:50:00,23.43923,34.213,21,21,1847.6,0,0,0,0,0,1082.48538644728,0,0,2706.21346611821,0,0,0,0,0,0,4329.94154578913,0,0,541.242693223641,0
"WS22337","CAL1",26.414,-81.957,2022,12,2022-12-05 07:30:00,23.35006,33.96247,21,21,1166.1,0,19723.865877712,0,0,0,857.55938598748,0,0,16293.6283337621,0,0,0,0,0,0,3430.23754394992,0,0,0,0
"WS22337","RP1",26.547,-82.22,2022,12,2022-12-05 09:45:00,22.872,34.346,21,21,1143.4,0,5247.50743396886,0,0,0,874.584572328144,0,0,6996.67657862515,0,0,0,874.584572328144,0,0,0,0,0,0,0
"WS22337","RP2",26.553,-82.256,2022,12,2022-12-05 10:07:00,23.041,34.632,21,21,1798.4,0,0,0,0,0,1112.09964412811,0,0,7228.64768683274,0,0,0,0,0,0,3336.29893238434,0,556.049822064057,0,0
"WS22337","RP3",26.551,-82.332,2022,12,2022-12-05 10:42:00,22.768,34.231,21,21,2127.8,0,0,0,0,0,469.968982047185,0,0,2349.84491023592,0,0,0,469.968982047185,0,0,3289.78287433029,0,0,0,0
"WS22337","RP4",26.578,-82.499,2022,12,2022-12-05 11:51:00,22.861,34.658,21,21,2404.2,0,0,0,415.938773812495,0,0,0,0,1247.81632143748,0,0,415.938773812495,415.938773812495,415.938773812495,0,1247.81632143748,0,0,0,0
